time (fs),deltaI
-47.72106691,0.156532678
-47.78753114,0.150251271
-47.85399536,0.145226145
-47.92045959,0.143969864
-47.98692381,0.145226145
-48.05338804,0.148994989
-48.11985226,0.156532678
-48.18631648,0.162814085
-48.25278071,0.172864337
-48.31924493,0.182914588
-48.38570916,0.195477403
-48.45217338,0.204271373
-48.51863761,0.21055278
-48.58510183,0.213065343
-48.65156606,0.213065343
-48.71803028,0.21055278
-48.78449451,0.20175881
-48.85095873,0.187939714
-48.91742295,0.170351774
-48.98388718,0.150251271
-49.0503514,0.133919612
-49.11681563,0.116331672
-49.18327985,0.101256295
-49.24974408,0.083668354
-49.3162083,0.072361821
-49.38267253,0.06231157
-49.44913675,0.054773881
-49.51560098,0.045979911
-49.5820652,0.033417097
-49.64852942,0.022110564
-49.71499365,0.007035187
-49.78145787,-0.008040191
-49.8479221,-0.028140694
-49.91438632,-0.052010041
-49.98085055,-0.07713567
-50.04731477,-0.104773862
-50.113779,-0.131155772
-50.18024322,-0.156281401
-50.24670745,-0.182663311
-50.31317167,-0.204020095
-50.37963589,-0.224120598
-50.44610012,-0.23417085
-50.51256434,-0.240452257
-50.57902857,-0.240452257
-50.64549279,-0.236683413
-50.71195702,-0.232914568
-50.77842124,-0.224120598
-50.84488547,-0.219095473
-50.91134969,-0.210301503
-50.97781392,-0.209045221
-51.04427814,-0.209045221
-51.11074236,-0.212814065
